文件,函数名,函数签名,起始行,总行数,已执行行数,行覆盖率(%)
lighttpd1-gcov/src/http_kv.c,http_version_buf,http_version_buf (http_version_t i),1,51,0,0.00
lighttpd1-gcov/src/http_kv.c,http_method_buf,http_method_buf (http_method_t i),146,51,13,25.49
lighttpd1-gcov/src/http_kv.c,keyvalue_from_key,"keyvalue_from_key (const keyvalue *kv, const int k)",155,51,16,31.37
lighttpd1-gcov/src/http_kv.c,http_method_key_get,"http_method_key_get (const char *s, const size_t slen)",166,41,15,36.59
lighttpd1-gcov/src/http_kv.c,http_status_append,"http_status_append (buffer * const b, const int status)",175,32,12,37.50
lighttpd1-gcov/src/http-header-glue.c,http_response_delay,http_response_delay (connection * const con),1,51,0,0.00
lighttpd1-gcov/src/http-header-glue.c,http_response_omit_header,"http_response_omit_header (request_st * const r, const data_string * const ds)",148,51,6,11.76
lighttpd1-gcov/src/http-header-glue.c,http_response_send_1xx,http_response_send_1xx (request_st * const r),159,51,7,13.73
lighttpd1-gcov/src/http-header-glue.c,http_response_check_1xx,"http_response_check_1xx (request_st * const r, buffer * const restrict b, uint32_t hlen, uint32_t dlen)",1091,51,0,0.00
lighttpd1-gcov/src/gw_backend.c,gw_hash,"gw_hash(const char *str, const uint32_t len, uint32_t hash)",1,51,0,0.00
lighttpd1-gcov/src/ck.h,__attribute_nonnull__,__attribute_nonnull__(),1,51,2,3.92
lighttpd1-gcov/src/ck.h,__attribute_nonnull__,__attribute_nonnull__(),59,51,0,0.00
lighttpd1-gcov/src/ck.h,__attribute_nonnull__,__attribute_nonnull__(),65,51,0,0.00
lighttpd1-gcov/src/ck.h,__attribute_nonnull__,__attribute_nonnull__(),85,34,0,0.00
lighttpd1-gcov/src/ck.h,__attribute_nonnull__,__attribute_nonnull__(),93,26,0,0.00
lighttpd1-gcov/src/ck.h,__attribute_nonnull__,__attribute_nonnull__(),99,20,0,0.00
lighttpd1-gcov/src/mod_auth.c,http_auth_cache_entry_init,"http_auth_cache_entry_init (const struct http_auth_require_t * const require, const int dalgo, const char *k, const uint32_t klen, const char *username, const uint32_t ulen, const char *pw, const uint32_t pwlen)",1,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,http_auth_cache_entry_free,http_auth_cache_entry_free (void *data),60,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,http_auth_cache_free,http_auth_cache_free (http_auth_cache *ac),88,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,http_auth_cache_init,http_auth_cache_init (const array *opts),96,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,http_auth_cache_hash,"http_auth_cache_hash (const struct http_auth_require_t * const require, const char *username, const uint32_t ulen)",107,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,http_auth_cache_query,"http_auth_cache_query (splay_tree ** const sptree, const int ndx)",122,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_tag_old_entries,"mod_auth_tag_old_entries (splay_tree * const t, int * const keys, int * const ndx, const time_t max_age, const unix_time64_t cur_ts)",132,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_periodic_cleanup,"mod_auth_periodic_cleanup(splay_tree **sptree_ptr, const time_t max_age, const unix_time64_t cur_ts)",154,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,TRIGGER_FUNC,TRIGGER_FUNC(mod_auth_periodic),170,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_send_400_bad_request,mod_auth_send_400_bad_request (request_st * const r),191,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_send_401_unauthorized_basic,"mod_auth_send_401_unauthorized_basic (request_st * const r, const buffer * const realm)",739,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_basic_misconfigured,"mod_auth_basic_misconfigured (request_st * const r, const struct http_auth_backend_t * const backend)",751,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_check_basic,"mod_auth_check_basic(request_st * const r, void *p_d, const struct http_auth_require_t * const require, const struct http_auth_backend_t * const backend)",767,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_mutate,"mod_auth_digest_mutate (http_auth_info_t * const ai, const http_auth_digest_params_t * const dp, const buffer * const method)",784,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_append_nonce,"mod_auth_append_nonce (buffer *b, unix_time64_t cur_ts, const struct http_auth_require_t *require, int dalgo, int *rndptr)",902,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_www_authenticate,"mod_auth_digest_www_authenticate (buffer *b, unix_time64_t cur_ts, const struct http_auth_require_t *require, int nonce_stale)",993,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_send_401_unauthorized_digest,"mod_auth_send_401_unauthorized_digest(request_st * const r, const struct http_auth_require_t * const require, int nonce_stale)",1057,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_authentication_info,"mod_auth_digest_authentication_info (buffer *b, unix_time64_t cur_ts, const struct http_auth_require_t *require, int dalgo)",1112,51,0,0.00
lighttpd1-gcov/src/mod_auth.c,mod_auth_digest_get,"mod_auth_digest_get (request_st * const r, void *p_d, const struct http_auth_require_t * const require, const struct http_auth_backend_t * const backend, http_auth_info_t * const ai)",1125,51,0,0.00
